product_name,product_description,category,brand,price,quantity
Packt Lite Speaker 1,Lite speaker from Packt suitable for everyday use.,Books,Packt,52588,59
Prestige Pro Ball 2,Pro ball from Prestige suitable for everyday use.,Kitchen,Prestige,46447,115
Butterfly Pro Laptop 3,Pro laptop from Butterfly suitable for everyday use.,Kitchen,Butterfly,109330,111
Boat Plus Cream 4,Plus cream from Boat suitable for everyday use.,Accessories,Boat,76067,190
Penguin Ultra Mixer 5,Ultra mixer from Penguin suitable for everyday use.,Books,Penguin,35372,196
Nivia Premium Book 6,Premium book from Nivia suitable for everyday use.,Sports,Nivia,23910,163
Butterfly Eco Ball 7,Eco ball from Butterfly suitable for everyday use.,Kitchen,Butterfly,116436,183
Samsung Lite Laptop 8,Lite laptop from Samsung suitable for everyday use.,Electronics,Samsung,10067,175
Levis Lite Speaker 9,Lite speaker from Levis suitable for everyday use.,Clothing,Levis,141823,132
Levis Elite Ball 10,Elite ball from Levis suitable for everyday use.,Clothing,Levis,47728,37
Acer Max Shirt 11,Max shirt from Acer suitable for everyday use.,Electronics,Acer,119679,168
Aashirvaad Elite Headphones 12,Elite headphones from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,9041,45
Peter England Max Backpack 13,Max backpack from Peter England suitable for everyday use.,Clothing,Peter England,48818,12
Lakme Lite Headphones 14,Lite headphones from Lakme suitable for everyday use.,Beauty,Lakme,27756,6
Maybelline Classic Phone 15,Classic phone from Maybelline suitable for everyday use.,Beauty,Maybelline,133815,164
Borosil Pro TV 16,Pro tv from Borosil suitable for everyday use.,Kitchen,Borosil,46181,165
Tata Eco Jeans 17,Eco jeans from Tata suitable for everyday use.,Grocery,Tata,31837,79
Sony Ultra Ball 18,Ultra ball from Sony suitable for everyday use.,Electronics,Sony,102930,5
Lakme Classic Shirt 19,Classic shirt from Lakme suitable for everyday use.,Beauty,Lakme,24230,30
Loreal Premium Bottle 20,Premium bottle from Loreal suitable for everyday use.,Beauty,Loreal,147036,73
Pigeon Premium Keyboard 21,Premium keyboard from Pigeon suitable for everyday use.,Kitchen,Pigeon,119118,88
Borosil Eco Monitor 22,Eco monitor from Borosil suitable for everyday use.,Kitchen,Borosil,36500,151
Portronics Classic Mouse 23,Classic mouse from Portronics suitable for everyday use.,Accessories,Portronics,50651,20
HarperCollins Smart Backpack 24,Smart backpack from HarperCollins suitable for everyday use.,Books,HarperCollins,71534,153
Penguin Pro Speaker 25,Pro speaker from Penguin suitable for everyday use.,Books,Penguin,89772,149
Milton Max Ball 26,Max ball from Milton suitable for everyday use.,Kitchen,Milton,35736,177
SG Max Jeans 27,Max jeans from SG suitable for everyday use.,Sports,SG,80789,95
Packt Eco Cooker 28,Eco cooker from Packt suitable for everyday use.,Books,Packt,100510,12
Yonex Eco Ball 29,Eco ball from Yonex suitable for everyday use.,Sports,Yonex,23626,170
Ikea Ultra Speaker 30,Ultra speaker from Ikea suitable for everyday use.,Home,Ikea,32004,153
Fortune Eco Backpack 31,Eco backpack from Fortune suitable for everyday use.,Grocery,Fortune,116384,76
US Polo Ultra Shoes 32,Ultra shoes from US Polo suitable for everyday use.,Clothing,US Polo,32743,90
Penguin Eco TV 33,Eco tv from Penguin suitable for everyday use.,Books,Penguin,7864,73
Allen Solly Eco Headphones 34,Eco headphones from Allen Solly suitable for everyday use.,Clothing,Allen Solly,134390,98
Cosco Plus Mixer 35,Plus mixer from Cosco suitable for everyday use.,Sports,Cosco,63611,19
Butterfly Ultra Ball 36,Ultra ball from Butterfly suitable for everyday use.,Kitchen,Butterfly,70620,21
Aashirvaad Ultra Shoes 37,Ultra shoes from Aashirvaad suitable for everyday use.,Grocery,Aashirvaad,68532,44
Adidas Pro Watch 38,Pro watch from Adidas suitable for everyday use.,Footwear,Adidas,137760,180
Prestige Elite Laptop 39,Elite laptop from Prestige suitable for everyday use.,Kitchen,Prestige,107581,45
Milton Smart Mixer 40,Smart mixer from Milton suitable for everyday use.,Kitchen,Milton,137707,40
Adidas Eco TV 41,Eco tv from Adidas suitable for everyday use.,Footwear,Adidas,12908,127
Nivia Plus Book 42,Plus book from Nivia suitable for everyday use.,Sports,Nivia,133173,146
